ts,open,high,low,close,volume
1757553900000,0.8864,0.8877,0.8864,0.8875,55123.0
1757553960000,0.8875,0.8878,0.8875,0.8876,40376.0
1757554020000,0.8876,0.8878,0.8868,0.887,122325.0
1757554080000,0.887,0.8874,0.887,0.8873,10871.0
1757554140000,0.8873,0.8874,0.8871,0.8871,63559.0
1757554200000,0.8871,0.8893,0.8871,0.8882,1215598.0
1757554260000,0.8882,0.8884,0.8877,0.8877,22671.0
1757554320000,0.8877,0.8878,0.8873,0.8873,24537.0
1757554380000,0.8873,0.8879,0.8873,0.8879,6652.0
1757554440000,0.8879,0.8887,0.8879,0.8885,86399.0
1757554500000,0.8885,0.8891,0.8882,0.8882,443591.0
1757554560000,0.8882,0.8882,0.8878,0.8881,38278.0
1757554620000,0.8881,0.8881,0.8873,0.8873,139782.0
1757554680000,0.8873,0.8876,0.8872,0.8873,14704.0
1757554740000,0.8873,0.8873,0.8867,0.8867,18588.0
1757554800000,0.8867,0.8878,0.8867,0.8878,22594.0
1757554860000,0.8878,0.888,0.8878,0.8879,31181.0
1757554920000,0.8879,0.8884,0.8879,0.8883,66008.0
1757554980000,0.8883,0.8884,0.8881,0.8882,3223.0
1757555040000,0.8882,0.8882,0.8879,0.8879,5919.0
1757555100000,0.8879,0.8885,0.8878,0.8885,13466.0
1757555160000,0.8885,0.8886,0.8881,0.8885,30483.0
1757555220000,0.8885,0.889,0.8883,0.889,44600.0
1757555280000,0.889,0.8899,0.8889,0.8895,46582.0
1757555340000,0.8895,0.8895,0.8882,0.8882,46460.0
1757555400000,0.8882,0.8883,0.8878,0.8878,10180.0
1757555460000,0.8878,0.8882,0.8877,0.8882,72357.0
1757555520000,0.8882,0.8887,0.888,0.8883,117741.0
1757555580000,0.8883,0.8883,0.8881,0.8882,5162.0
1757555640000,0.8882,0.8883,0.8881,0.8883,35589.0
1757555700000,0.8883,0.8883,0.8882,0.8882,7904.0
1757555760000,0.8882,0.8886,0.8882,0.8885,35096.0
1757555820000,0.8885,0.889,0.8884,0.8889,15971.0
1757555880000,0.8889,0.8889,0.8886,0.8887,28037.0
1757555940000,0.8887,0.8887,0.8884,0.8884,2039.0
1757556000000,0.8884,0.8889,0.8883,0.8883,18930.0
1757556060000,0.8883,0.8886,0.888,0.8882,19318.0
1757556120000,0.8882,0.8882,0.8878,0.8879,4547.0
1757556180000,0.8879,0.888,0.8874,0.8874,4964.0
1757556240000,0.8874,0.8874,0.887,0.8871,26900.0
1757556300000,0.8871,0.8875,0.8871,0.8871,10565.0
1757556360000,0.8871,0.8871,0.8867,0.887,5990.0
1757556420000,0.887,0.8879,0.887,0.8875,48222.0
1757556480000,0.8875,0.8877,0.8871,0.8877,102412.0
1757556540000,0.8877,0.8887,0.8877,0.8885,14753.0
