ts,open,high,low,close,volume
1757559180000,28.93,28.95,28.925,28.932,1504.4
1757559240000,28.932,28.934,28.906,28.908,1503.9
1757559300000,28.908,28.91,28.89,28.909,4925.5
1757559360000,28.909,28.909,28.894,28.894,1967.5
1757559420000,28.894,28.918,28.878,28.881,2288.0
1757559480000,28.881,28.924,28.88,28.917,5587.4
1757559540000,28.917,28.921,28.897,28.903,2226.1
1757559600000,28.903,28.911,28.891,28.906,2660.1
1757559660000,28.906,28.923,28.902,28.902,1507.6
1757559720000,28.902,28.902,28.869,28.888,1963.7
1757559780000,28.888,28.907,28.886,28.893,1798.3
1757559840000,28.893,28.893,28.842,28.861,1090.6
1757559900000,28.861,28.864,28.843,28.844,1959.7
1757559960000,28.844,28.845,28.83,28.83,4750.3
1757560020000,28.83,28.839,28.818,28.83,4110.6
1757560080000,28.83,28.841,28.823,28.837,4851.7
1757560140000,28.837,28.867,28.829,28.859,5607.5
1757560200000,28.859,28.883,28.859,28.868,2812.4
1757560260000,28.868,28.899,28.868,28.88,2246.7
1757560320000,28.88,28.886,28.874,28.876,804.4
1757560380000,28.876,28.899,28.876,28.899,566.1
1757560440000,28.899,28.908,28.895,28.899,1534.3
1757560500000,28.899,28.926,28.89,28.926,1483.0
1757560560000,28.926,28.936,28.914,28.915,3982.3
1757560620000,28.915,28.924,28.91,28.916,4018.7
1757560680000,28.916,28.924,28.91,28.918,2152.5
1757560740000,28.918,28.96,28.897,28.96,11976.4
1757560800000,28.96,28.986,28.938,28.98,4355.3
1757560860000,28.98,29.047,28.978,29.043,14539.2
1757560920000,29.043,29.044,29.01,29.027,8066.6
1757560980000,29.027,29.044,29.025,29.025,3222.0
1757561040000,29.025,29.068,29.012,29.064,4730.5
1757561100000,29.064,29.114,29.063,29.111,8758.6
1757561160000,29.111,29.182,29.111,29.175,12883.5
1757561220000,29.175,29.288,29.172,29.248,26305.0
1757561280000,29.248,29.254,29.212,29.212,6565.4
1757561340000,29.212,29.217,29.18,29.189,3377.6
1757561400000,29.189,29.197,29.15,29.15,7244.1
1757561460000,29.15,29.151,29.12,29.138,7018.6
1757561520000,29.138,29.201,29.137,29.164,11088.3
1757561580000,29.164,29.164,29.144,29.145,3235.3
1757561640000,29.145,29.147,29.127,29.133,3199.2
1757561700000,29.133,29.186,29.103,29.161,12724.6
1757561760000,29.161,29.216,29.151,29.204,9835.4
1757561820000,29.204,29.277,29.202,29.264,19648.5
1757561880000,29.264,29.289,29.223,29.254,7263.4
1757561940000,29.254,29.317,29.241,29.309,9683.8
1757562000000,29.309,29.315,29.273,29.3,4609.8
1757562060000,29.3,29.355,29.28,29.341,7754.2
1757562120000,29.341,29.361,29.309,29.355,7562.9
1757562180000,29.355,29.356,29.332,29.342,3461.1
1757562240000,29.342,29.363,29.333,29.356,6929.3
1757562300000,29.356,29.368,29.323,29.326,6007.9
1757562360000,29.326,29.367,29.317,29.362,2241.2
1757562420000,29.362,29.366,29.349,29.364,2299.0
1757562480000,29.364,29.373,29.35,29.355,3033.3
1757562540000,29.355,29.362,29.317,29.345,6992.1
1757562600000,29.345,29.372,29.345,29.367,4727.3
1757562660000,29.367,29.38,29.363,29.373,1101.2
1757562720000,29.373,29.412,29.373,29.412,5257.1
