ts,open,high,low,close,volume
1757835720000,4.4295,4.431,4.4286,4.4304,462.0
1757835780000,4.4304,4.4304,4.4265,4.4266,1962.2
1757835840000,4.4266,4.4285,4.4266,4.428,526.5
1757835900000,4.428,4.4326,4.4268,4.4313,5102.6
1757835960000,4.4313,4.4342,4.4312,4.4339,7480.5
1757836020000,4.4339,4.434,4.4261,4.4261,10437.6
1757836080000,4.4261,4.4261,4.4209,4.4213,3768.4
1757836140000,4.4213,4.4228,4.4194,4.4194,2652.6
1757836200000,4.4194,4.4196,4.4143,4.4144,4411.9
1757836260000,4.4144,4.4151,4.4082,4.409,13527.5
1757836320000,4.409,4.4099,4.4027,4.4047,37817.7
1757836380000,4.4047,4.4112,4.4046,4.4112,4543.6
1757836440000,4.4112,4.4165,4.4112,4.4165,8295.0
1757836500000,4.4165,4.4179,4.4129,4.4175,7268.4
1757836560000,4.4175,4.4211,4.4164,4.4211,5062.6
1757836620000,4.4211,4.4222,4.4205,4.4213,5234.4
1757836680000,4.4213,4.4217,4.4181,4.4188,553.4
1757836740000,4.4188,4.4188,4.4165,4.4181,447.1
1757836800000,4.4181,4.4183,4.413,4.415,8620.6
1757836860000,4.415,4.4171,4.414,4.4148,3860.2
1757836920000,4.4148,4.415,4.4088,4.409,4611.9
1757836980000,4.409,4.4129,4.409,4.4123,3809.2
1757837040000,4.4123,4.417,4.4123,4.417,1482.8
1757837100000,4.417,4.4177,4.4116,4.4116,3316.1
1757837160000,4.4116,4.412,4.4057,4.4082,23441.8
1757837220000,4.4082,4.4116,4.408,4.4113,1287.9
1757837280000,4.4113,4.4113,4.4056,4.4086,22737.5
1757837340000,4.4086,4.4103,4.4081,4.4103,2623.0
1757837400000,4.4103,4.4127,4.4103,4.4127,280.1
1757837460000,4.4127,4.4127,4.4082,4.4082,4011.7
1757837520000,4.4082,4.4084,4.4056,4.4056,6286.8
1757837580000,4.4056,4.407,4.4045,4.407,15322.5
1757837640000,4.407,4.4079,4.4066,4.4076,1141.4
1757837700000,4.4076,4.4081,4.4035,4.4035,2559.2
1757837760000,4.4035,4.4061,4.4031,4.4061,1981.8
1757837820000,4.4061,4.4084,4.4,4.4015,16731.2
1757837880000,4.4015,4.4019,4.3993,4.3994,11882.5
1757837940000,4.3994,4.4015,4.3975,4.401,3361.8
1757838000000,4.401,4.4027,4.3995,4.4027,2592.4
1757838060000,4.4027,4.4048,4.4002,4.4003,764.7
1757838120000,4.4003,4.4045,4.4003,4.4045,1889.6
1757838180000,4.4045,4.4072,4.4029,4.403,2294.4
1757838240000,4.403,4.4066,4.4029,4.4066,4832.7
1757838300000,4.4066,4.4091,4.4062,4.409,2019.1
1757838360000,4.409,4.4108,4.4082,4.4088,9817.5
1757838420000,4.4088,4.4091,4.4082,4.4091,1056.0
1757838480000,4.4091,4.4091,4.4042,4.4042,1882.7
1757838540000,4.4042,4.4061,4.4042,4.4061,815.6
1757838600000,4.4061,4.4133,4.406,4.4133,954.3
1757838660000,4.4133,4.4141,4.4096,4.4102,3847.0
1757838720000,4.4102,4.4178,4.4102,4.4178,3456.8
1757838780000,4.4178,4.4219,4.4176,4.4219,5147.6
1757838840000,4.4219,4.4255,4.4219,4.4255,7424.7
