ts,open,high,low,close,volume
1756561200000,4352.0,4354.47,4351.93,4354.4,97.45
1756561260000,4354.4,4359.16,4350.08,4350.48,1711.14
1756561320000,4350.48,4350.79,4341.04,4342.88,2850.83
1756561380000,4342.88,4346.05,4342.88,4343.68,320.93
1756561440000,4343.68,4344.07,4339.22,4341.19,423.98
1756561500000,4341.19,4341.19,4329.45,4330.73,9834.79
1756561560000,4330.73,4340.55,4330.73,4339.9,2464.6
1756561620000,4339.9,4343.66,4339.61,4341.92,840.54
1756561680000,4341.92,4346.2,4340.77,4345.0,1137.1
1756561740000,4345.0,4346.69,4341.45,4344.0,1275.5
1756561800000,4344.0,4347.29,4343.83,4347.24,564.37
1756561860000,4347.24,4349.48,4345.45,4349.0,770.99
1756561920000,4349.0,4353.08,4347.99,4353.08,1506.57
1756561980000,4353.08,4355.0,4351.51,4353.14,558.63
1756562040000,4353.14,4353.47,4351.53,4351.6,147.23
1756562100000,4351.6,4354.35,4350.65,4354.34,523.33
1756562160000,4354.34,4354.79,4350.49,4350.5,268.16
1756562220000,4350.5,4352.07,4350.0,4350.4,618.89
1756562280000,4350.4,4355.31,4350.28,4355.14,700.35
1756562340000,4355.14,4358.73,4355.01,4356.4,961.17
1756562400000,4356.4,4358.72,4354.04,4358.3,989.93
1756562460000,4358.3,4361.16,4353.28,4353.4,954.02
1756562520000,4353.4,4353.54,4351.08,4351.43,283.82
1756562580000,4351.43,4353.69,4349.15,4350.41,716.96
1756562640000,4350.41,4355.48,4350.1,4354.55,792.97
1756562700000,4354.55,4355.14,4351.61,4353.57,212.98
1756562760000,4353.57,4358.94,4353.57,4358.8,450.49
1756562820000,4358.8,4358.8,4352.01,4352.05,1388.06
1756562880000,4352.05,4353.36,4349.63,4349.97,341.45
1756562940000,4349.97,4353.52,4349.08,4349.1,1076.08
1756563000000,4349.1,4350.65,4346.35,4347.43,746.95
1756563060000,4347.43,4348.18,4345.9,4347.63,464.83
1756563120000,4347.63,4347.63,4344.41,4346.36,310.2
1756563180000,4346.36,4348.5,4346.36,4348.28,452.48
1756563240000,4348.28,4348.63,4343.0,4343.0,426.84
1756563300000,4343.0,4343.57,4338.49,4339.04,1915.49
1756563360000,4339.04,4340.23,4335.0,4338.01,1220.04
1756563420000,4338.01,4340.1,4336.45,4339.2,1960.86
1756563480000,4339.2,4341.98,4338.6,4341.64,599.84
1756563540000,4341.64,4342.0,4337.31,4341.16,737.28
1756563600000,4341.16,4343.75,4339.15,4343.05,645.93
1756563660000,4343.05,4346.76,4341.47,4346.37,375.16
1756563720000,4346.37,4347.42,4343.6,4345.12,1180.65
1756563780000,4345.12,4345.62,4343.54,4343.87,132.96
1756563840000,4343.87,4349.66,4343.87,4349.4,764.3
1756563900000,4349.4,4350.0,4346.04,4348.0,560.81
1756563960000,4348.0,4350.71,4347.33,4350.71,192.78
1756564020000,4350.71,4352.6,4348.82,4350.92,1135.4
1756564080000,4350.92,4351.97,4350.31,4351.6,231.91
1756564140000,4351.6,4353.64,4351.6,4352.63,323.02
1756564200000,4352.63,4355.74,4351.92,4355.41,351.04
1756564260000,4355.41,4357.15,4354.42,4354.8,705.66
1756564320000,4354.8,4354.95,4347.24,4348.0,1046.55
1756564380000,4348.0,4351.25,4348.0,4351.02,356.35
1756564440000,4351.02,4351.02,4348.08,4348.22,145.8
1756564500000,4348.22,4352.0,4347.12,4351.98,362.5
1756564560000,4351.98,4352.6,4348.37,4349.19,1217.43
1756564620000,4349.19,4351.02,4345.36,4350.83,858.75
1756564680000,4350.83,4353.33,4350.83,4352.38,117.47
1756564740000,4352.38,4352.38,4352.38,4352.38,0.0
1756564800000,4356.81,4359.91,4356.8,4359.34,1042.21
1756564860000,4359.34,4359.34,4359.34,4359.34,0.0
1756564920000,4357.0,4357.0,4356.41,4356.52,9.12
1756564980000,4356.21,4356.21,4356.21,4356.21,0.47
1756565040000,4357.03,4357.04,4356.33,4356.34,1.0
1756565100000,4355.62,4357.96,4355.28,4357.6,200.52
1756565160000,4357.6,4363.16,4357.59,4363.16,883.04
1756565220000,4363.16,4366.49,4362.39,4364.0,5446.26
