ts,open,high,low,close,volume
1757560620000,23.749,23.753,23.749,23.751,742.0
1757560680000,23.751,23.751,23.739,23.747,1959.4
1757560740000,23.747,23.748,23.724,23.724,444.8
1757560800000,23.724,23.743,23.715,23.743,884.3
1757560860000,23.743,23.756,23.738,23.753,3754.6
1757560920000,23.753,23.771,23.753,23.769,2405.8
1757560980000,23.769,23.781,23.765,23.766,5042.1
1757561040000,23.766,23.827,23.765,23.817,8441.0
1757561100000,23.817,23.834,23.798,23.812,7822.1
1757561160000,23.812,23.835,23.812,23.834,3616.2
1757561220000,23.834,23.838,23.819,23.819,3567.2
1757561280000,23.819,23.826,23.818,23.822,2184.4
1757561340000,23.822,23.829,23.807,23.814,4572.0
1757561400000,23.814,23.826,23.807,23.814,3074.5
1757561460000,23.814,23.826,23.813,23.825,3545.1
1757561520000,23.825,23.827,23.799,23.8,652.9
1757561580000,23.8,23.802,23.778,23.781,2549.4
1757561640000,23.781,23.782,23.768,23.768,3653.2
1757561700000,23.768,23.79,23.762,23.777,11789.3
1757561760000,23.777,23.793,23.772,23.772,877.8
1757561820000,23.772,23.783,23.767,23.782,356.9
1757561880000,23.782,23.784,23.764,23.778,1344.3
1757561940000,23.778,23.781,23.776,23.778,282.0
1757562000000,23.778,23.783,23.757,23.759,871.7
1757562060000,23.759,23.765,23.753,23.762,7311.4
1757562120000,23.762,23.766,23.755,23.762,1370.5
1757562180000,23.762,23.768,23.74,23.741,951.1
1757562240000,23.741,23.751,23.737,23.747,3603.8
1757562300000,23.747,23.769,23.747,23.769,1569.6
1757562360000,23.769,23.799,23.769,23.791,867.3
1757562420000,23.791,23.801,23.787,23.798,430.1
1757562480000,23.798,23.798,23.79,23.797,508.4
1757562540000,23.797,23.802,23.786,23.798,2188.7
1757562600000,23.798,23.802,23.787,23.79,1288.5
1757562660000,23.79,23.79,23.78,23.784,279.3
1757562720000,23.784,23.802,23.781,23.802,468.0
1757562780000,23.802,23.803,23.782,23.786,3667.1
1757562840000,23.786,23.79,23.783,23.783,550.6
1757562900000,23.783,23.783,23.77,23.779,4166.7
1757562960000,23.779,23.8,23.775,23.775,7206.5
1757563020000,23.775,23.787,23.773,23.774,725.2
1757563080000,23.774,23.793,23.774,23.793,704.4
1757563140000,23.793,23.807,23.792,23.795,777.2
1757563200000,23.795,23.827,23.794,23.826,29365.1
1757563260000,23.826,23.828,23.777,23.777,24818.3
1757563320000,23.777,23.785,23.769,23.775,2279.7
1757563380000,23.775,23.789,23.765,23.784,1137.3
1757563440000,23.784,23.808,23.775,23.808,2340.4
1757563500000,23.808,23.815,23.797,23.815,5011.0
1757563560000,23.815,23.815,23.8,23.803,1791.6
1757563620000,23.803,23.821,23.797,23.819,3103.8
1757563680000,23.819,23.835,23.819,23.824,1780.6
1757563740000,23.824,23.828,23.812,23.812,9577.8
1757563800000,23.812,23.831,23.812,23.831,3287.7
1757563860000,23.831,23.831,23.804,23.804,3063.6
1757563920000,23.804,23.823,23.796,23.809,4322.2
1757563980000,23.809,23.816,23.803,23.815,476.6
1757564040000,23.815,23.82,23.801,23.802,3083.7
1757564100000,23.802,23.817,23.799,23.813,998.5
1757564160000,23.813,23.825,23.813,23.825,698.0
1757564220000,23.834,23.834,23.831,23.832,70.8
1757564280000,23.84,23.84,23.82,23.82,604.8
1757564340000,23.831,23.845,23.831,23.845,738.9
1757564400000,23.832,23.844,23.832,23.843,248.6
1757564460000,23.83,23.832,23.796,23.799,22859.7
1757564520000,23.783,23.783,23.755,23.756,1587.4
1757564580000,23.777,23.797,23.777,23.787,7981.9
1757564640000,23.8,23.817,23.799,23.817,120.3
1757564700000,23.816,23.816,23.806,23.806,949.1
1757564760000,23.797,23.798,23.778,23.782,1963.3
1757564820000,23.801,23.818,23.801,23.815,2614.0
1757842080000,24.67,24.676,24.65,24.65,1003.0
1757842140000,24.65,24.656,24.642,24.652,1241.1
1757842200000,24.652,24.661,24.642,24.661,1874.3
1757842260000,24.661,24.675,24.652,24.675,2037.9
1757842320000,24.675,24.69,24.671,24.688,2519.7
1757842380000,24.688,24.692,24.674,24.691,546.2
1757842440000,24.691,24.704,24.691,24.702,2524.8
1757842500000,24.702,24.712,24.694,24.694,1545.0
1757842560000,24.694,24.694,24.674,24.676,1158.1
1757842620000,24.676,24.69,24.676,24.69,1449.1
1757842680000,24.69,24.695,24.689,24.694,579.4
1757842740000,24.694,24.712,24.694,24.712,3636.6
1757842800000,24.712,24.712,24.681,24.686,3915.8
1757842860000,24.686,24.686,24.668,24.679,1999.7
1757842920000,24.679,24.686,24.671,24.671,1442.1
1757842980000,24.671,24.687,24.671,24.687,979.3
1757843040000,24.687,24.69,24.681,24.685,359.7
1757843100000,24.685,24.7,24.68,24.694,21733.8
1757843160000,24.694,24.696,24.678,24.678,2298.8
1757843220000,24.678,24.689,24.674,24.689,9204.8
1757843280000,24.689,24.696,24.687,24.696,365.7
1757843340000,24.696,24.697,24.677,24.677,483.1
1757843400000,24.677,24.683,24.668,24.681,1044.1
1757843460000,24.681,24.681,24.668,24.674,741.9
1757843520000,24.674,24.677,24.639,24.644,2543.2
1757843580000,24.644,24.651,24.641,24.645,1774.2
1757843640000,24.645,24.659,24.644,24.658,2012.0
1757843700000,24.658,24.674,24.657,24.672,535.8
1757843760000,24.672,24.672,24.659,24.667,312.2
1757843820000,24.667,24.673,24.665,24.665,469.2
1757843880000,24.665,24.675,24.665,24.673,1937.6
1757843940000,24.673,24.685,24.673,24.68,244.3
1757844000000,24.68,24.68,24.668,24.68,834.3
1757844060000,24.68,24.697,24.679,24.693,1670.2
1757844120000,24.693,24.699,24.677,24.684,7013.7
1757844180000,24.684,24.703,24.683,24.703,3854.4
1757844240000,24.703,24.722,24.703,24.722,7228.3
1757844300000,24.722,24.732,24.704,24.708,7538.0
1757844360000,24.708,24.713,24.707,24.709,214.1
1757844420000,24.709,24.717,24.701,24.713,1599.5
1757844480000,24.713,24.717,24.711,24.711,328.0
1757844540000,24.711,24.712,24.711,24.712,248.1
1757844600000,24.712,24.721,24.711,24.72,713.4
1757844660000,24.72,24.726,24.706,24.706,1358.7
1757844720000,24.706,24.709,24.694,24.694,820.5
1757844780000,24.694,24.694,24.671,24.681,1297.2
1757844840000,24.681,24.683,24.667,24.667,1331.2
1757844900000,24.667,24.673,24.656,24.656,3273.3
1757844960000,24.656,24.692,24.656,24.692,2579.6
1757845020000,24.692,24.692,24.679,24.686,653.6
1757845080000,24.686,24.716,24.686,24.698,2995.8
1757845140000,24.698,24.725,24.694,24.725,781.5
1757845200000,24.725,24.735,24.715,24.735,2058.0
1757845260000,24.735,24.762,24.733,24.74,22804.0
1757845320000,24.74,24.74,24.726,24.733,3637.0
1757845380000,24.733,24.751,24.726,24.728,2062.9
1757845440000,24.728,24.73,24.7,24.71,777.9
1757845500000,24.71,24.715,24.703,24.705,473.9
1757845560000,24.705,24.705,24.682,24.683,2876.6
1757845620000,24.683,24.705,24.683,24.705,1027.1
1757845680000,24.716,24.716,24.701,24.706,583.8
1757845740000,24.704,24.714,24.683,24.69,826.7
1757845800000,24.686,24.689,24.681,24.689,1927.2
1757845860000,24.687,24.689,24.674,24.681,2172.3
