ts,open,high,low,close,volume
1757553900000,0.777,0.7783,0.777,0.7781,8726.6
1757553960000,0.7781,0.7785,0.7778,0.7783,7805.9
1757554020000,0.7783,0.7787,0.7771,0.7772,20673.9
1757554080000,0.7772,0.7779,0.7771,0.7778,14722.3
1757554140000,0.7778,0.7784,0.7775,0.7775,15708.0
1757554200000,0.7775,0.7787,0.7775,0.7784,13077.1
1757554260000,0.7784,0.7784,0.7773,0.7773,35086.7
1757554320000,0.7773,0.7775,0.7771,0.7774,35298.0
1757554380000,0.7774,0.7782,0.7773,0.7782,22049.6
1757554440000,0.7782,0.7791,0.7782,0.7791,28896.8
1757554500000,0.7791,0.7793,0.7788,0.7789,8590.3
1757554560000,0.7789,0.7789,0.778,0.7783,12980.1
1757554620000,0.7783,0.7783,0.7768,0.7769,47993.0
1757554680000,0.7769,0.777,0.7767,0.7769,5433.9
1757554740000,0.7769,0.7769,0.7765,0.7766,8024.2
1757554800000,0.7766,0.7769,0.7764,0.7769,4121.0
1757554860000,0.7769,0.7777,0.7769,0.777,13866.3
1757554920000,0.777,0.7781,0.777,0.7778,2331.9
1757554980000,0.7778,0.7784,0.7777,0.778,8598.6
1757555040000,0.778,0.7783,0.7778,0.778,3523.9
1757555100000,0.778,0.778,0.7776,0.778,2292.6
1757555160000,0.778,0.778,0.7777,0.7777,4592.1
1757555220000,0.7777,0.779,0.7775,0.7789,14075.2
1757555280000,0.7789,0.7794,0.7788,0.7792,2346.8
1757555340000,0.7792,0.7793,0.7783,0.7785,3276.6
1757555400000,0.7785,0.7785,0.7779,0.7779,2878.9
1757555460000,0.7779,0.7789,0.7779,0.7789,656.2
1757555520000,0.7789,0.7791,0.7784,0.7784,4273.6
1757555580000,0.7784,0.7789,0.7784,0.7789,11042.2
1757555640000,0.7789,0.7791,0.7789,0.7789,1653.7
1757555700000,0.7789,0.7789,0.7788,0.7789,1418.5
1757555760000,0.7789,0.7799,0.7789,0.7799,15724.5
1757555820000,0.7799,0.7811,0.7798,0.7811,59735.2
1757555880000,0.7811,0.7811,0.7806,0.7808,48218.9
1757555940000,0.7808,0.7813,0.7806,0.7808,18756.4
1757556000000,0.7808,0.7809,0.7805,0.7807,12697.3
1757556060000,0.7807,0.7813,0.7802,0.7805,16784.3
1757556120000,0.7805,0.7806,0.7797,0.7805,9947.0
1757556180000,0.7805,0.7805,0.7796,0.7796,14875.0
1757556240000,0.7796,0.7797,0.7793,0.7796,1695.2
1757556300000,0.7796,0.7796,0.7786,0.779,9863.5
1757556360000,0.779,0.7794,0.7789,0.7792,8695.8
1757556420000,0.7792,0.7806,0.7792,0.7802,3893.5
1757556480000,0.7802,0.7809,0.7802,0.7808,3858.6
1757556540000,0.7808,0.7818,0.7808,0.7817,5978.6
1757556600000,0.7817,0.7823,0.7815,0.7815,4824.8
1757556660000,0.7815,0.7817,0.7809,0.7809,28530.5
1757556720000,0.7809,0.7826,0.7809,0.7821,51087.4
1757556780000,0.7821,0.7837,0.7821,0.7835,87103.1
1757556840000,0.7835,0.7845,0.7834,0.7845,43404.2
1757556900000,0.7845,0.7865,0.7844,0.7859,332824.3
1757556960000,0.7859,0.7863,0.785,0.7855,46862.3
1757557020000,0.7855,0.7879,0.7849,0.7872,239836.5
1757557080000,0.7872,0.7873,0.7852,0.7852,67898.2
1757557140000,0.7852,0.7855,0.7842,0.7843,109119.0
1757557200000,0.7843,0.7861,0.7838,0.7858,46464.5
1757557260000,0.7858,0.7872,0.7858,0.7863,51630.8
1757557320000,0.7863,0.7885,0.7863,0.7876,148070.5
1757557380000,0.7876,0.7878,0.7868,0.7873,19244.0
1757557440000,0.7873,0.7873,0.7873,0.7873,0.0
1757557500000,0.7881,0.7881,0.7881,0.7881,0.0
1757557560000,0.7882,0.7885,0.788,0.7884,5121.8
1757557620000,0.7883,0.7883,0.7879,0.7881,13398.0
1757557680000,0.7892,0.7896,0.7892,0.7894,9949.0
1757557740000,0.7894,0.7899,0.789,0.7892,52382.9
1757557800000,0.7891,0.7896,0.7891,0.7894,34329.3
1757557860000,0.7886,0.7894,0.7886,0.7892,33583.0
1757557920000,0.7873,0.7877,0.7872,0.7875,22145.4
1757557980000,0.7877,0.7888,0.7875,0.7888,33503.0
1757558040000,0.7889,0.7896,0.7888,0.7896,57194.3
1757558100000,0.7901,0.7905,0.789,0.7891,105472.6
1757558160000,0.7907,0.7909,0.789,0.789,53818.6
1757558220000,0.7891,0.7892,0.7882,0.789,96877.7
