ts,open,high,low,close,volume
1756561200000,198.64,198.83,198.63,198.79,6135.0
1756561260000,198.79,199.06,198.69,198.7,16178.7
1756561320000,198.7,198.71,198.17,198.24,12508.7
1756561380000,198.24,198.41,198.21,198.29,4862.4
1756561440000,198.29,198.36,198.01,198.18,6943.5
1756561500000,198.18,198.23,197.88,197.9,7844.6
1756561560000,197.9,198.57,197.9,198.52,9926.0
1756561620000,198.52,198.73,198.49,198.6,4933.9
1756561680000,198.6,198.8,198.57,198.74,4616.0
1756561740000,198.74,198.81,198.58,198.72,6652.4
1756561800000,198.72,198.9,198.68,198.88,6409.0
1756561860000,198.88,198.95,198.76,198.94,4039.3
1756561920000,198.94,199.22,198.89,199.22,12781.9
1756561980000,199.22,199.3,199.14,199.21,4920.5
1756562040000,199.21,199.21,199.05,199.06,4254.9
1756562100000,199.06,199.1,198.98,199.1,4864.3
1756562160000,199.1,199.1,198.92,198.99,1968.4
1756562220000,198.99,199.03,198.93,198.94,3185.1
1756562280000,198.94,199.04,198.9,199.01,3103.5
1756562340000,199.01,199.09,198.99,199.04,2515.7
1756562400000,199.04,199.08,198.79,199.05,7754.5
1756562460000,199.05,199.23,198.78,198.79,6158.2
1756562520000,198.79,198.79,198.55,198.62,7455.0
1756562580000,198.62,198.71,198.5,198.58,5695.0
1756562640000,198.58,198.93,198.58,198.92,2770.4
1756562700000,198.92,198.97,198.77,198.83,2459.0
1756562760000,198.83,199.17,198.83,199.16,3668.2
1756562820000,199.16,199.16,198.92,199.01,4688.0
1756562880000,199.01,199.13,198.86,198.89,11351.1
1756562940000,198.89,199.01,198.76,198.76,2789.1
1756563000000,198.76,198.82,198.59,198.61,3259.0
1756563060000,198.61,198.62,198.48,198.57,3403.1
1756563120000,198.57,198.58,198.29,198.33,6350.2
1756563180000,198.33,198.58,198.33,198.54,2953.5
1756563240000,198.54,198.57,198.42,198.42,3989.0
1756563300000,198.42,198.5,198.3,198.4,5382.5
1756563360000,198.4,198.43,198.11,198.3,6049.3
1756563420000,198.3,198.52,198.24,198.4,13034.8
1756563480000,198.4,198.57,198.4,198.55,5293.3
1756563540000,198.55,198.56,198.41,198.56,4540.0
1756563600000,198.56,198.67,198.3,198.54,5603.1
1756563660000,198.54,198.66,198.47,198.66,1380.6
1756563720000,198.66,198.67,198.46,198.65,4005.5
1756563780000,198.65,198.69,198.55,198.6,5556.2
1756563840000,198.6,198.76,198.58,198.75,6407.6
1756563900000,198.75,198.79,198.45,198.56,4721.5
1756563960000,198.56,198.62,198.48,198.62,2406.9
1756564020000,198.62,198.74,198.51,198.66,5843.4
1756564080000,198.66,198.76,198.62,198.76,2407.7
1756564140000,198.76,198.9,198.7,198.89,4125.4
1756564200000,198.89,199.22,198.86,199.22,9711.0
1756564260000,199.22,199.46,199.2,199.39,24435.1
1756564320000,199.39,199.39,199.05,199.08,4648.2
1756564380000,199.08,199.28,199.06,199.28,2654.5
1756564440000,199.28,199.28,199.08,199.14,2190.3
1756564500000,199.14,199.41,199.08,199.4,4340.6
1756564560000,199.4,199.4,199.03,199.05,10661.9
1756564620000,199.05,199.11,198.87,199.08,6177.5
1756564680000,199.08,199.18,199.08,199.16,2474.5
1756564740000,199.16,199.16,199.16,199.16,0.3
1756564800000,199.39,199.43,199.36,199.39,4137.1
1756564860000,199.39,199.4,199.39,199.4,9.3
1756564920000,199.26,199.27,199.23,199.23,391.6
1756564980000,199.2,199.2,199.2,199.2,0.0
1756565040000,199.47,199.47,199.45,199.45,207.4
1756565100000,199.39,199.53,199.28,199.48,4283.0
1756565160000,199.48,199.72,199.48,199.71,6658.4
1756565220000,199.71,199.82,199.71,199.81,5856.4
1756565280000,199.81,199.99,199.73,199.99,14382.7
1756565340000,199.99,200.2,199.98,200.09,19672.2
1756565400000,200.09,200.19,199.88,200.17,11642.7
1756565460000,200.17,200.18,199.89,199.99,8696.5
1756565520000,199.99,200.11,199.89,200.09,5665.8
1756565580000,200.09,200.27,200.03,200.25,6665.7
1756565640000,200.25,200.4,200.24,200.35,14982.8
1756565700000,200.35,200.4,200.04,200.06,7088.6
