ts,open,high,low,close,volume
1757559180000,2.9902,2.9902,2.9898,2.9901,33214.0
1757559240000,2.9901,2.9901,2.9898,2.9898,21543.0
1757559300000,2.9898,2.9898,2.9878,2.9884,48966.0
1757559360000,2.9884,2.9884,2.9875,2.9877,75942.0
1757559420000,2.9877,2.9883,2.9876,2.9882,53042.0
1757559480000,2.9882,2.9888,2.9882,2.9882,15066.0
1757559540000,2.9882,2.9882,2.9876,2.9876,9554.0
1757559600000,2.9876,2.9882,2.9872,2.988,16615.0
1757559660000,2.988,2.9882,2.9873,2.9873,204911.0
1757559720000,2.9873,2.9879,2.987,2.9879,21828.0
1757559780000,2.9879,2.9911,2.9879,2.9902,265024.0
1757559840000,2.9902,2.9904,2.9892,2.9892,6680.0
1757559900000,2.9892,2.9896,2.9887,2.9889,28182.0
1757559960000,2.9889,2.989,2.9877,2.9877,31338.0
1757560020000,2.9877,2.9877,2.9874,2.9876,5308.0
1757560080000,2.9876,2.9879,2.9871,2.9879,60232.0
1757560140000,2.9879,2.9893,2.9879,2.9892,27289.0
1757560200000,2.9892,2.9893,2.9884,2.9885,21850.0
1757560260000,2.9885,2.9902,2.9885,2.9902,28259.0
1757560320000,2.9902,2.991,2.9902,2.9909,58678.0
1757560380000,2.9909,2.9916,2.99,2.99,29003.0
1757560440000,2.99,2.9915,2.9899,2.9908,36240.0
1757560500000,2.9908,2.9914,2.9902,2.9914,25303.0
1757560560000,2.9914,2.992,2.9913,2.992,92288.0
1757560620000,2.992,2.992,2.991,2.992,208659.0
1757560680000,2.992,2.992,2.9914,2.992,14011.0
1757560740000,2.992,2.992,2.9913,2.9918,32742.0
1757560800000,2.9918,2.995,2.9918,2.995,35220.0
1757560860000,2.995,2.9981,2.995,2.9965,230092.0
1757560920000,2.9965,3.0005,2.9965,3.0002,341011.0
1757560980000,3.0002,3.0008,2.9996,3.0001,308528.0
1757561040000,3.0001,3.0054,2.9996,3.0034,317514.0
1757561100000,3.0034,3.0076,3.0032,3.0048,341264.0
